번호,종목명,평가액(억 원),자산군 내 비중(퍼센트),지분율(퍼센트)
523,DARDEN RESTAURANTS INC,1196,0.04,0.47
524,CARDINAL HEALTH INC,1185,0.04,0.37
525,US FOODS HOLDING CORP,1184,0.04,0.83
526,LEGAL + GENERAL GROUP PLC,1182,0.04,0.48
527,ORIENTAL LAND CO LTD,1176,0.04,0.13
528,MACQUARIE GROUP LTD,1175,0.04,0.19
529,INFOSYS LTD SP ADR,1174,0.04,0.12
530,EVOLUTION AB,1168,0.04,0.35
531,GOODMAN GROUP,1164,0.04,0.28
532,LARSEN + TOUBRO LTD,1161,0.04,0.15
533,OLYMPUS CORP,1156,0.04,0.51
534,BEIGENE LTD ADR,1151,0.04,0.52
535,ENVISTA HOLDINGS CORP,1142,0.04,2.14
536,ASAHI GROUP HOLDINGS LTD,1137,0.04,0.47
537,DAIKIN INDUSTRIES LTD,1136,0.04,0.18
538,BLOCK INC,1123,0.04,0.2
539,AMERICAN WATER WORKS CO INC,1123,0.04,0.34
540,AMADEUS IT GROUP SA,1115,0.03,0.27
541,SIKA AG REG,1115,0.03,0.17
542,WARNER BROS DISCOVERY INC,1110,0.03,0.31
543,CELLNEX TELECOM SA,1107,0.03,0.31
544,CHR HANSEN HOLDING A/S,1107,0.03,0.78
545,COREBRIDGE FINANCIAL INC,1095,0.03,0.63
546,PETROBRAS   PETROLEO BRAS PR,1094,0.03,0.2
547,FRANKLIN RESOURCES INC,1082,0.03,0.53
548,CBOE GLOBAL MARKETS INC,1075,0.03,0.44
549,NVR INC,1059,0.03,0.37
550,BANCO BRADESCO ADR,1056,0.03,0.44
551,DEUTSCHE BANK AG REGISTERED,1056,0.03,0.3
552,CGI INC,1054,0.03,0.37
553,FORTIVE CORP,1051,0.03,0.31
554,BAKER HUGHES CO,1047,0.03,0.24
555,MOSAIC CO/THE,1043,0.03,0.7
556,JD.COM INC ADR,1039,0.03,0.2
557,POWER CORP OF CANADA,1036,0.03,0.47
558,IDEX CORP,1028,0.03,0.49
559,ONEOK INC,1026,0.03,0.19
560,PULTEGROUP INC,1022,0.03,0.36
561,SAMSARA INC CL A,1021,0.03,1.13
562,DAIWA HOUSE INDUSTRY CO LTD,1021,0.03,0.4
563,KINDER MORGAN INC,1021,0.03,0.2
564,IND + COMM BK OF CHINA H,1019,0.03,0.19
565,ALBEMARLE CORP,1019,0.03,0.47
566,HEXAGON AB B SHS,1012,0.03,0.25
567,ESTEE LAUDER COMPANIES CL A,1008,0.03,0.23
568,NOVONESIS (NOVOZYMES) B,1008,0.03,0.34
569,PRUDENTIAL FINANCIAL INC,999,0.03,0.21
570,CAE INC,998,0.03,1.12
571,CENCORA INC,998,0.03,0.19
572,HUNT (JB) TRANSPRT SVCS INC,997,0.03,0.37
573,RELIANCE INC,996,0.03,0.48
574,KOMATSU LTD,994,0.03,0.3
575,JD.COM INC CLASS A,989,0.03,0.19
576,KOTAK MAHINDRA BANK LTD,988,0.03,0.17
577,OVERSEA CHINESE BANKING CORP,983,0.03,0.17
578,REPSOL SA,982,0.03,0.42
579,SHELL PLC,976,0.03,0.04
580,VONOVIA SE,975,0.03,0.29
581,SUN HUNG KAI PROPERTIES,969,0.03,0.24
582,XYLEM INC,968,0.03,0.27
583,REPUBLIC SERVICES INC,965,0.03,0.14
584,ANSYS INC,964,0.03,0.24
585,EXTRA SPACE STORAGE INC,959,0.03,0.22
586,ENGIE,948,0.03,0.17
587,WUXI APPTEC CO LTD H,946,0.03,1.86
588,SYMRISE AG,939,0.03,0.47
589,GAMING AND LEISURE PROPERTIE,934,0.03,0.54
590,ROLLS ROYCE HOLDINGS PLC,931,0.03,0.22
591,SCB X PCL FOREIGN,926,0.03,0.7
592,STANLEY BLACK + DECKER INC,922,0.03,0.47
593,GLOBAL PAYMENTS INC,921,0.03,0.22
594,MARATHON OIL CORP,918,0.03,0.51
595,SUMITOMO CORP,916,0.03,0.27
596,PINNACLE WEST CAPITAL,912,0.03,0.8
597,ORANGE,911,0.03,0.23
598,MITSUBISHI HEAVY INDUSTRIES,908,0.03,0.04
599,APOLLO GLOBAL MANAGEMENT INC,906,0.03,0.13
600,GRUPO MEXICO SAB DE CV SER B,904,0.03,0.16
601,INVESTOR AB B SHS,903,0.03,0.17
602,SOFTBANK CORP,902,0.03,0.12
603,KUBOTA CORP,898,0.03,0.39
604,AGNICO EAGLE MINES LTD,896,0.03,0.25
605,LPL FINANCIAL HOLDINGS INC,896,0.03,0.41
606,REGAL REXNORD CORP,884,0.03,0.7
607,THE SAUDI NATIONAL BANK,884,0.03,0.11
608,ITAU UNIBANCO H SPON PRF ADR,881,0.03,0.2
609,BARCLAYS PLC,876,0.03,0.23
610,SAP SE SPONSORED ADR,867,0.03,0.04
611,HUBSPOT INC,865,0.03,0.23
612,VIATRIS INC,865,0.03,0.52
613,FLOOR + DECOR HOLDINGS INC A,863,0.03,0.56
614,MITSUBISHI ESTATE CO LTD,862,0.03,0.37
615,MARUBENI CORP,860,0.03,0.25
616,FUJIFILM HOLDINGS CORP,859,0.03,0.09
617,ULTRATECH CEMENT LTD,852,0.03,0.18
618,VERISIGN INC,851,0.03,0.32
619,NIO INC   ADR,849,0.03,0.38
620,INTERCONTINENTAL HOTELS GROU,849,0.03,0.44
621,DEVON ENERGY CORP,845,0.03,0.23
622,MITSUI FUDOSAN CO LTD,841,0.03,0.09
623,JAPAN TOBACCO INC,835,0.03,0.13
624,UNITED RENTALS INC,834,0.03,0.17
625,PALANTIR TECHNOLOGIES INC A,833,0.03,0.18
626,ASTELLAS PHARMA INC,819,0.03,0.29
627,ITAU UNIBANCO HOLDING S PREF,819,0.03,0.19
628,FOMENTO ECONOMICO MEX SP ADR,819,0.03,0.23
629,KUEHNE   NAGEL INTL AG REG,819,0.03,0.15
630,MS+AD INSURANCE GROUP HOLDIN,818,0.03,0.1
631,WALMART DE MEXICO SAB DE CV,816,0.03,0.09
632,AKER BP ASA,815,0.03,0.34
633,EBAY INC,815,0.03,0.28
634,CONSTELLATION ENERGY,814,0.03,0.17
635,SOMPO HOLDINGS INC,814,0.03,0.13
636,BOLIDEN AB,813,0.03,0.74
637,FLUTTER ENTERTAINMENT PLC DI,808,0.03,0.2
638,WYNN RESORTS LTD,808,0.03,0.61
639,SGS SA REG,807,0.03,0.39
640,FACTSET RESEARCH SYSTEMS INC,806,0.03,0.34
641,FORTIS INC,806,0.03,0.31
642,ASE TECHNOLOGY HOLDING CO LT,799,0.02,0.32
643,LYONDELLBASELL INDU CL A,798,0.02,0.2
644,SMITH + NEPHEW PLC,797,0.02,0.51
645,MERCK KGAA,792,0.02,0.3
646,GALAXY ENTERTAINMENT GROUP L,790,0.02,0.25
647,COGNEX CORP,788,0.02,0.85
648,HINDUSTAN UNILEVER LTD,787,0.02,0.08
649,BANK OF CHINA LTD H,785,0.02,0.19
650,LIVE NATION ENTERTAINMENT IN,784,0.02,0.28
651,LUKOIL PJSC,779,0.02,0.12
652,WW GRAINGER INC,774,0.02,0.15
653,DIGITAL REALTY TRUST INC,773,0.02,0.14
654,CK HUTCHISON HOLDINGS LTD,770,0.02,0.29
655,HARTFORD FINANCIAL SVCS GRP,770,0.02,0.25
656,RENESAS ELECTRONICS CORP,770,0.02,0.18
657,EQUITY RESIDENTIAL,768,0.02,0.26
658,EDISON INTERNATIONAL,764,0.02,0.22
659,NASPERS LTD N SHS,763,0.02,0.19
660,ARES MANAGEMENT CORP   A,763,0.02,0.26
661,AXIS BANK LTD,762,0.02,0.14
662,VEEVA SYSTEMS INC CLASS A,761,0.02,0.19
663,ZIJIN MINING GROUP CO LTD H,758,0.02,0.63
664,UNITED PARKS + RESORTS INC,756,0.02,1.73
665,KEYSIGHT TECHNOLOGIES IN,755,0.02,0.21
666,MURATA MANUFACTURING CO LTD,754,0.02,0.14
667,AKZO NOBEL N.V.,750,0.02,0.41
668,BUILDERS FIRSTSOURCE INC,749,0.02,0.29
669,DIAMONDBACK ENERGY INC,748,0.02,0.21
670,WEYERHAEUSER CO,747,0.02,0.23
671,GREAT WALL MOTOR CO LTD H,746,0.02,1.92
672,MARUTI SUZUKI INDIA LTD,742,0.02,0.15
673,DUN + BRADSTREET HOLDINGS IN,738,0.02,1.11
674,SBERBANK OF RUSSIA PJSC,737,0.02,0.09
675,UNIVERSAL MUSIC GROUP NV,735,0.02,0.11
676,CBRE GROUP INC   A,734,0.02,0.2
677,AMUNDI FTSE MIB UCITS ETF DIST,733,0.02,13.6
678,GE HEALTHCARE TECHNOLOGY,732,0.02,0.16
679,BRAMBLES LTD,728,0.02,0.44
680,VOLKSWAGEN AG PREF,725,0.02,0.22
681,POOL CORP,723,0.02,0.37
682,NIPPON STEEL CORP,720,0.02,0.26
683,BANCO DO BRASIL S.A.,717,0.02,0.17
684,STEEL DYNAMICS INC,713,0.02,0.3
685,ASSA ABLOY AB B,713,0.02,0.18
686,IMPERIAL BRANDS PLC,713,0.02,0.28
687,REPLIGEN CORP,712,0.02,0.55
688,DECKERS OUTDOOR CORP,710,0.02,0.32
689,RESMED INC,708,0.02,0.22
690,ERICSSON LM B SHS,708,0.02,0.28
691,AFFIRM HOLDINGS INC,707,0.02,0.43
692,METTLER TOLEDO INTERNATIONAL,706,0.02,0.21
693,OPEN TEXT CORP,704,0.02,0.47
694,MICHELIN (CGDE),703,0.02,0.21
695,DOLLAR TREE INC,702,0.02,0.18
696,PUBLIC SERVICE ENTERPRISE GP,702,0.02,0.18
697,POWER GRID CORP OF INDIA LTD,700,0.02,0.2
698,ROYAL CARIBBEAN CRUISES LTD,699,0.02,0.16
699,TELKOM INDONESIA PERSERO TBK,697,0.02,0.21
700,SOCIETE GENERALE SA,695,0.02,0.25
701,JABIL INC,694,0.02,0.33
702,FAIR ISAAC CORP,692,0.02,0.19
703,ALEXANDRIA REAL ESTATE EQUIT,690,0.02,0.24
704,HOLOGIC INC,690,0.02,0.32
705,HDFC BANK LTD ADR,688,0.02,0.03
706,JACOBS SOLUTIONS INC,688,0.02,0.32
707,SHARKNINJA INC,688,0.02,0.75
708,ASM INTERNATIONAL NV,686,0.02,0.21
709,GIVAUDAN REG,685,0.02,0.14
710,XIAOMI CORP CLASS B,684,0.02,0.13
711,ZOOM VIDEO COMMUNICATIONS A,683,0.02,0.28
712,TRADEWEB MARKETS INC CLASS A,682,0.02,0.5
713,PETROBRAS   PETROLEO BRAS,677,0.02,0.09
714,SWISS RE AG,675,0.02,0.15
715,INVESCO LTD,675,0.02,0.65
716,CAIXABANK SA,675,0.02,0.17
717,SSE PLC,674,0.02,0.2
718,EXPEDIA GROUP INC,674,0.02,0.26
719,BOC HONG KONG HOLDINGS LTD,673,0.02,0.18
720,FOMENTO ECONOMICO MEXICA UBD,672,0.02,0.19
721,KAO CORP,671,0.02,0.27
722,ZIMMER BIOMET HOLDINGS INC,670,0.02,0.21
723,SANTOS LTD,670,0.02,0.31
724,DICK S SPORTING GOODS INC,665,0.02,0.6
725,RECKITT BENCKISER GROUP PLC,663,0.02,0.11
726,DSM FIRMENICH AG,662,0.02,0.19
727,ITAUSA SA,661,0.02,0.36
728,PARTNERS GROUP HOLDING AG,658,0.02,0.13
729,RWE AG,657,0.02,0.15
730,NORDEA BANK ABP,655,0.02,0.12
731,TEXTRON INC,653,0.02,0.33
732,WALGREENS BOOTS ALLIANCE INC,653,0.02,0.22
733,ELF BEAUTY INC,651,0.02,0.63
734,FIRSTRAND LTD,648,0.02,0.22
735,COINBASE GLOBAL INC  CLASS A,646,0.02,0.15
736,KWEICHOW MOUTAI CO LTD A,645,0.02,0.02
737,BYD CO LTD H,645,0.02,0.17
738,DELTA ELECTRONICS INC,642,0.02,0.19
739,DOORDASH INC   A,642,0.02,0.13
740,MONOLITHIC POWER SYSTEMS INC,640,0.02,0.16
741,ABN AMRO BANK NV CVA,638,0.02,0.38
742,CF INDUSTRIES HOLDINGS INC,637,0.02,0.33
743,GXO LOGISTICS INC,637,0.02,0.68
744,CORNING INC,636,0.02,0.19
745,LOBLAW COMPANIES LTD,633,0.02,0.16
746,ATLAS COPCO AB B SHS,633,0.02,0.21
747,ASHTEAD GROUP PLC,629,0.02,0.16
748,SUPER MICRO COMPUTER INC,627,0.02,0.29
749,LENOVO GROUP LTD,626,0.02,0.28
750,VESTAS WIND SYSTEMS A/S,626,0.02,0.15
751,ALCON INC,626,0.02,0.12
752,PETROCHINA CO LTD H,624,0.02,0.35
753,STANDARD BANK GROUP LTD,624,0.02,0.25
754,FTI CONSULTING INC,623,0.02,0.68
755,UPM KYMMENE OYJ,622,0.02,0.24
756,CITIZENS FINANCIAL GROUP,621,0.02,0.32
757,INPEX CORP,620,0.02,0.28
758,UNILEVER PLC,620,0.02,0.04
759,THOMSON REUTERS CORP,619,0.02,0.07
760,OTP BANK PLC,618,0.02,0.37
761,SUN LIFE FINANCIAL INC,618,0.02,0.16
762,BHARTI AIRTEL LTD,617,0.02,0.07
763,BEIERSDORF AG,615,0.02,0.13
764,BAJAJ FINANCE LTD,614,0.02,0.09
765,CENOVUS ENERGY INC,614,0.02,0.15
766,WEC ENERGY GROUP INC,613,0.02,0.18
767,LI AUTO INC CLASS A,613,0.02,0.14
768,SANDVIK AB,613,0.02,0.17
769,VODAFONE GROUP PLC,611,0.02,0.2
770,FAIRFAX FINANCIAL HLDGS LTD,608,0.02,0.21
771,ANTA SPORTS PRODUCTS LTD,607,0.02,0.17
772,MTU AERO ENGINES AG,607,0.02,0.41
773,KBC GROUP NV,604,0.02,0.17
774,WEICHAI POWER CO LTD H,603,0.02,1.44
775,CARLSBERG AS B,603,0.02,0.36
776,NATIONAL BANK OF CANADA,601,0.02,0.18
777,AXON ENTERPRISE INC,601,0.02,0.24
778,DENSO CORP,600,0.02,0.1
779,TYSON FOODS INC CL A,596,0.02,0.3
780,WOOLWORTHS GROUP LTD,596,0.02,0.15
781,ALBERTSONS COS INC   CLASS A,595,0.02,0.35
782,NATIONAL BANK OF KUWAIT,595,0.02,0.2
783,CENTRAIS ELETRICAS BRASILIER,594,0.02,0.26
784,EQUIFAX INC,593,0.02,0.15
785,ARCELORMITTAL,592,0.02,0.19
786,BRIDGESTONE CORP,591,0.02,0.16
787,SKANDINAVISKA ENSKILDA BAN A,591,0.02,0.16
788,STELLANTIS NV,586,0.02,0.06
789,INTACT FINANCIAL CORP,585,0.02,0.16
790,NEC CORP,584,0.02,0.28
791,SWEDBANK AB   A SHARES,584,0.02,0.2
792,KWEICHOW MOUTAI CO LTD A,582,0.02,0.01
793,ZSCALER INC,580,0.02,0.14
794,TARGA RESOURCES CORP,580,0.02,0.23
795,M + T BANK CORP,578,0.02,0.2
796,NOKIA OYJ,577,0.02,0.24
797,WESTERN DIGITAL CORP,575,0.02,0.26
798,AVALONBAY COMMUNITIES INC,573,0.02,0.17
799,PETROLEO BRASILEIRO SPON ADR,573,0.02,0.07
800,BARRICK GOLD CORP,571,0.02,0.14
801,ANGLOGOLD ASHANTI PLC,570,0.02,0.56
802,VERALTO CORP,567,0.02,0.22
803,TRANSURBAN GROUP,567,0.02,0.15
804,TRANSUNION,566,0.02,0.33
805,DIPLOMA PLC,564,0.02,0.71
806,BROWN + BROWN INC,564,0.02,0.22
807,JAPAN POST HOLDINGS CO LTD,561,0.02,0.14
808,MAHINDRA + MAHINDRA LTD,561,0.02,0.17
809,LOCALIZA RENT A CAR,561,0.02,0.31
810,BUNGE GLOBAL SA,561,0.02,0.31
811,QUANTA SERVICES INC,559,0.02,0.14
812,SAUDI BASIC INDUSTRIES CORP,559,0.02,0.06
813,KONINKLIJKE PHILIPS NV,557,0.02,0.2
814,SONOVA HOLDING AG REG,556,0.02,0.22
815,AVIVA PLC,555,0.02,0.28
816,EVEREST GROUP LTD,553,0.02,0.28
817,IMPERIAL OIL LTD,553,0.02,0.14
818,RELX PLC,553,0.02,0.06
819,ADVANTEST CORP,552,0.02,0.16
820,MARTIN MARIETTA MATERIALS,549,0.02,0.14
821,CHURCH + DWIGHT CO INC,547,0.02,0.18
822,CHINA RESOURCES LAND LTD,547,0.02,0.17
823,PANASONIC HOLDINGS CORP,547,0.02,0.17
824,SAUDI TELECOM CO,546,0.02,0.08
825,AKAMAI TECHNOLOGIES INC,541,0.02,0.23
826,PAYCOM SOFTWARE INC,539,0.02,0.35
827,CAMECO CORP,538,0.02,0.22
828,STANDARD CHARTERED PLC,537,0.02,0.19
829,SUZUKI MOTOR CORP,534,0.02,0.05
830,NASDAQ INC,533,0.02,0.12
831,DNB BANK ASA,533,0.02,0.13
832,BANK MANDIRI PERSERO TBK PT,532,0.02,0.11
833,CELANESE CORP,531,0.02,0.24
834,KERRY GROUP PLC A,530,0.02,0.27
835,BROADRIDGE FINANCIAL SOLUTIO,530,0.02,0.17
836,TRAVIS PERKINS PLC,530,0.02,1.83
837,CENTRAL JAPAN RAILWAY CO,530,0.02,0.16
838,FIFTH THIRD BANCORP,529,0.02,0.17
839,DANSKE BANK A/S,528,0.02,0.18
840,MOLINA HEALTHCARE INC,528,0.02,0.19
841,RAIA DROGASIL SA,528,0.02,0.39
842,C.H. ROBINSON WORLDWIDE INC,528,0.02,0.41
843,PEMBINA PIPELINE CORP,526,0.02,0.21
844,SPLUNK INC,526,0.02,0.16
845,COTERRA ENERGY INC,526,0.02,0.21
846,NIPPON YUSEN KK,525,0.02,0.26
847,TELEFONICA SA,524,0.02,0.18
848,DISCO CORP,523,0.02,0.15
849,SNAP ON INC,522,0.02,0.27
850,TAKE TWO INTERACTIVE SOFTWRE,516,0.02,0.15
851,MOSCOW EXCHANGE MICEX RTS PJ,516,0.02,0.83
852,TDK CORP,515,0.02,0.22
853,LAS VEGAS SANDS CORP,510,0.02,0.11
854,FRANCO NEVADA CORP,507,0.02,0.18
855,ORIX CORP,506,0.02,0.17
856,VEOLIA ENVIRONNEMENT,505,0.02,0.17
857,SYNCHRONY FINANCIAL,504,0.02,0.25
858,EPIROC AB A,503,0.02,0.24
859,LIVANOVA PLC,502,0.02,1.4
860,SBI LIFE INSURANCE CO LTD,500,0.02,0.22
861,SEKISUI HOUSE LTD,499,0.02,0.26
862,COCA COLA HBC AG DI,499,0.02,0.36
863,SINGAPORE TELECOMMUNICATIONS,498,0.02,0.12
864,ROGERS COMMUNICATIONS INC B,497,0.02,0.2
865,DAI ICHI LIFE HOLDINGS INC,497,0.02,0.19
866,WABTEC CORP,495,0.02,0.17
867,WR BERKLEY CORP,493,0.02,0.21
868,ISHARES PLC   ISHARES CORE FTS,493,0.02,0.27
869,SCOUT24 SE,492,0.02,0.72
870,HCL TECHNOLOGIES LTD,490,0.02,0.08
871,SWISS LIFE HOLDING AG REG,490,0.02,0.19
872,CTBC FINANCIAL HOLDING CO LT,490,0.02,0.21
873,SWISSCOM AG REG,489,0.02,0.12
874,ULTA BEAUTY INC,489,0.02,0.16
875,FLEX LTD,488,0.02,0.29
876,LAMB WESTON HOLDINGS INC,485,0.02,0.24
877,THALES SA,484,0.02,0.12
878,TATA MOTORS LTD,484,0.02,0.12
879,ASSICURAZIONI GENERALI,483,0.02,0.11
880,VULCAN MATERIALS CO,483,0.02,0.12
881,ASIAN PAINTS LTD,481,0.02,0.1
882,ACCTON TECHNOLOGY CORP,481,0.02,0.39
883,SAGE GROUP PLC/THE,480,0.01,0.25
884,GFL ENVIRONMENTAL INC SUB VT,480,0.01,0.3
885,NUTRIEN LTD,477,0.01,0.13
886,PTC INC,473,0.01,0.18
887,COPT DEFENSE PROPERTIES,472,0.01,1.27
888,QATAR NATIONAL BANK,472,0.01,0.09
889,JOBY AVIATION INC,471,0.01,0.78
890,LABORATORY CRP OF AMER HLDGS,467,0.01,0.19
891,TELEDYNE TECHNOLOGIES INC,466,0.01,0.17
892,FRESENIUS SE + CO KGAA,465,0.01,0.21
893,CHINA MERCHANTS BANK H,465,0.01,0.23
894,RESTAURANT BRANDS INTERN,465,0.01,0.15
895,RENTOKIL INITIAL PLC,465,0.01,0.25
896,SANLAM LTD,463,0.01,0.41
897,STERIS PLC,462,0.01,0.17
898,GARMIN LTD,461,0.01,0.15
899,CORPAY INC,460,0.01,0.18
900,CREDIT AGRICOLE SA,460,0.01,0.08
901,ARGENX SE,459,0.01,0.16
902,GEBERIT AG REG,459,0.01,0.16
903,QUEST DIAGNOSTICS INC,457,0.01,0.23
904,KONE OYJ B,455,0.01,0.16
905,QBE INSURANCE GROUP LTD,455,0.01,0.23
906,EMAAR PROPERTIES PJSC,455,0.01,0.18
907,HEICO CORP,453,0.01,0.36
908,DOVER CORP,453,0.01,0.17
909,SIEMENS HEALTHINEERS AG,451,0.01,0.05
910,ESSITY AKTIEBOLAG B,450,0.01,0.22
911,EAST JAPAN RAILWAY CO,449,0.01,0.05
912,FERROVIAL SE,447,0.01,0.13
913,QUANTA COMPUTER INC,446,0.01,0.12
914,FIRSTENERGY CORP,445,0.01,0.16
915,ITC LTD,445,0.01,0.05
916,KELLANOVA,444,0.01,0.18
917,EPAM SYSTEMS INC,443,0.01,0.2
918,MAGNA INTERNATIONAL INC,440,0.01,0.2
919,MID AMERICA APARTMENT COMM,438,0.01,0.22
920,TOURMALINE OIL CORP,438,0.01,0.21
921,WHEATON PRECIOUS METALS CORP,437,0.01,0.15
922,WUXI BIOLOGICS CAYMAN INC,437,0.01,0.21
923,ANHUI CONCH CEMENT CO LTD H,437,0.01,1.13
924,THOR INDUSTRIES INC,436,0.01,0.54
925,TECK RESOURCES LTD CLS B,436,0.01,0.16
926,INFORMA PLC,435,0.01,0.25
927,HANNOVER RUECK SE,435,0.01,0.12
928,ALUMINUM CORP OF CHINA LTD H,434,0.01,1.71
929,ORLEN SA,434,0.01,0.17
930,OTSUKA HOLDINGS CO LTD,433,0.01,0.16
931,SAMPO OYJ A SHS,433,0.01,0.15
932,JM SMUCKER CO/THE,432,0.01,0.25
933,NEWMONT CORP CDI,432,0.01,0.07
934,HEICO CORP CLASS A,432,0.01,0.28
935,STRAUMANN HOLDING AG REG,431,0.01,0.13
936,BROWN FORMAN CORP CLASS B,431,0.01,0.19
937,KUWAIT FINANCE HOUSE,431,0.01,0.09
938,FOX CORP   CLASS A,430,0.01,0.47
939,UNITED MICROELECTRONICS CORP,430,0.01,0.16
940,BARRICK GOLD CORP,429,0.01,0.1
941,HUNTINGTON BANCSHARES INC,429,0.01,0.18
942,ARISTOCRAT LEISURE LTD,425,0.01,0.19
943,PRINCIPAL FINANCIAL GROUP,425,0.01,0.18
944,BAXTER INTERNATIONAL INC,423,0.01,0.17
945,CLOROX COMPANY,423,0.01,0.19
946,RAYMOND JAMES FINANCIAL INC,422,0.01,0.14
947,DOLLARAMA INC,421,0.01,0.16
948,EMIRATES TELECOM GROUP CO,419,0.01,0.07
949,H WORLD GROUP LTD ADR,419,0.01,0.3
950,FORTUNE BRANDS INNOVATIONS I,418,0.01,0.34
951,BB SEGURIDADE PARTICIPACOES,418,0.01,0.23
952,FIRST CITIZENS BCSHS   CL A,418,0.01,0.17
953,NIDEC CORP,417,0.01,0.13
954,GENUINE PARTS CO,417,0.01,0.17
955,BIOMARIN PHARMACEUTICAL INC,416,0.01,0.18
956,SPIRAX SARCO ENGINEERING PLC,415,0.01,0.33
957,HUBBELL INC,415,0.01,0.18
958,FIRST SOLAR INC,415,0.01,0.17
959,ALNYLAM PHARMACEUTICALS INC,415,0.01,0.13
960,EQT CORP,414,0.01,0.19
961,TERUMO CORP,413,0.01,0.07
962,ALIGN TECHNOLOGY INC,411,0.01,0.15
963,COOPER COS INC/THE,411,0.01,0.04
964,SOUTHERN COPPER CORP,411,0.01,0.05
965,MIDEA GROUP CO LTD A,410,0.01,0.06
966,NOV INC,410,0.01,0.4
967,AMBEV SA,410,0.01,0.07
968,CARNIVAL CORP,409,0.01,0.15
969,RED ROCK RESORTS INC CLASS A,409,0.01,1.01
970,ASTRA INTERNATIONAL TBK PT,408,0.01,0.21
971,AMERICA MOVIL SAB DE C SER B,407,0.01,0.05
972,GOLD FIELDS LTD,404,0.01,0.23
973,TERADYNE INC,402,0.01,0.19
974,NOVATEK MICROELECTRONICS COR,401,0.01,0.3
975,AJINOMOTO CO INC,401,0.01,0.15
976,EDENRED,400,0.01,0.21
977,ASUSTEK COMPUTER INC,398,0.01,0.26
978,KUAISHOU TECHNOLOGY,397,0.01,0.13
979,MARKEL GROUP INC,393,0.01,0.16
980,NTPC LTD,393,0.01,0.08
981,CREDICORP LTD,393,0.01,0.26
982,PPL CORP,392,0.01,0.15
983,DTE ENERGY COMPANY,392,0.01,0.13
984,OMV AG,391,0.01,0.21
985,TYLER TECHNOLOGIES INC,390,0.01,0.17
986,PERFORMANCE FOOD GROUP CO,390,0.01,0.28
987,INTL FLAVORS + FRAGRANCES,388,0.01,0.15
988,ESSEX PROPERTY TRUST INC,388,0.01,0.19
989,IRON MOUNTAIN INC,385,0.01,0.15
990,CINCINNATI FINANCIAL CORP,385,0.01,0.18
991,EIFFAGE,385,0.01,0.28
992,HINDALCO INDUSTRIES LTD,384,0.01,0.18
993,WH GROUP LTD,384,0.01,0.36
994,BALL CORP,384,0.01,0.16
995,NESTE OYJ,383,0.01,0.11
996,UNIVERSAL HEALTH SERVICES B,383,0.01,0.32
997,SUMITOMO MITSUI TRUST HOLDIN,382,0.01,0.21
998,TRIP.COM GROUP LTD,381,0.01,0.13
999,FIRST ABU DHABI BANK PJSC,380,0.01,0.07
1000,GAZPROM PJSC,380,0.01,0.07
1001,VENTAS INC,379,0.01,0.15
1002,RANDSTAD NV,378,0.01,0.26
1003,HYATT HOTELS CORP   CL A,377,0.01,0.5
1004,ON HOLDING AG CLASS A,376,0.01,0.38
1005,SAUDI ARABIAN MINING CO,376,0.01,0.06
1006,MOWI ASA,376,0.01,0.31
1007,WSP GLOBAL INC,375,0.01,0.17
1008,INVITATION HOMES INC,374,0.01,0.14
1009,CHECK POINT SOFTWARE TECH,374,0.01,0.16
1010,CHAROEN POKPHAND FOOD FORGN,373,0.01,0.61
1011,KINGFISHER PLC,371,0.01,0.5
1012,CHINA MENGNIU DAIRY CO,369,0.01,0.27
1013,REVVITY INC,369,0.01,0.21
1014,EVERSOURCE ENERGY,369,0.01,0.13
1015,FUBON FINANCIAL HOLDING CO,368,0.01,0.1
1016,STATE BANK OF INDIA,368,0.01,0.04
1017,TKO GROUP HOLDINGS INC,367,0.01,0.42
1018,AMEREN CORPORATION,367,0.01,0.15
1019,ACS ACTIVIDADES CONS Y SERV,366,0.01,0.23
1020,PAN PACIFIC INTERNATIONAL HO,365,0.01,0.19
1021,COLES GROUP LTD,364,0.01,0.19
1022,EDP ENERGIAS DE PORTUGAL SA,364,0.01,0.13
1023,CHUNGHWA TELECOM CO LTD,363,0.01,0.09
1024,GROUPE BRUXELLES LAMBERT NV,363,0.01,0.24
1025,SANDOZ GROUP AG,362,0.01,0.2
1026,HAIER SMART HOME CO LTD H,361,0.01,0.35
1027,KE HOLDINGS INC ADR,359,0.01,0.14
1028,SHENZHOU INTERNATIONAL GROUP,357,0.01,0.18
1029,INCYTE CORP,357,0.01,0.2
1030,KAJIMA CORP,357,0.01,0.31
1031,WP CAREY INC,357,0.01,0.2
1032,LINK REIT,357,0.01,0.19
1033,SHRIRAM FINANCE LTD,355,0.01,0.3
1034,MCCORMICK + CO NON VTG SHRS,355,0.01,0.16
1035,LOGITECH INTERNATIONAL REG,354,0.01,0.17
1036,ROBERT HALF INC,353,0.01,0.3
1037,CARLISLE COS INC,353,0.01,0.18
1038,TITAN CO LTD,353,0.01,0.07
1039,CENTERPOINT ENERGY INC,351,0.01,0.15
1040,ZEBRA TECHNOLOGIES CORP CL A,350,0.01,0.19
1041,MOLSON COORS BEVERAGE CO   B,349,0.01,0.22
1042,DAVIDE CAMPARI MILANO NV,348,0.01,0.19
1043,PACKAGING CORP OF AMERICA,347,0.01,0.18
